date,open,high,low,close,volume
1980-06-04,0.2082,0.2112,0.2082,0.2082,7680000
1980-06-05,0.2082,0.2112,0.2082,0.2082,6470400
1980-06-06,0.2082,0.2097,0.2066,0.2066,28723200
1980-06-09,0.2066,0.2082,0.2051,0.2051,7545600
1980-06-10,0.2074,0.2105,0.2074,0.2074,17280000
1980-06-11,0.2097,0.2128,0.2097,0.2097,3206400
1980-06-12,0.2097,0.2097,0.2066,0.2066,10809600
1980-06-13,0.2066,0.2097,0.2066,0.2066,3590400
1980-06-16,0.2066,0.2097,0.2066,0.2066,7987200
1980-06-17,0.2066,0.2089,0.2058,0.2058,12864000
1980-06-18,0.2058,0.2074,0.2043,0.2043,8064000
1980-06-19,0.2035,0.2035,0.2004,0.2004,13689600
1980-06-20,0.2012,0.2043,0.2012,0.2012,7027200
1980-06-23,0.2012,0.2043,0.2012,0.2012,9888000
1980-06-24,0.2012,0.2043,0.2012,0.2012,9676800
1980-06-25,0.2035,0.2066,0.2035,0.2035,15494400
1980-06-26,0.2035,0.2066,0.2035,0.2035,10156800
1980-06-27,0.2043,0.2074,0.2043,0.2043,6912000
1980-06-30,0.2043,0.2058,0.2028,0.2028,5337600
1980-07-01,0.2058,0.2089,0.2058,0.2058,9811200
1980-07-02,0.2074,0.2105,0.2074,0.2074,6585600
1980-07-03,0.2089,0.2120,0.2089,0.2089,4550400
1980-07-07,0.2166,0.2182,0.2166,0.2166,19545600
1980-07-08,0.2213,0.2228,0.2213,0.2213,13190400
1980-07-09,0.2213,0.2220,0.2213,0.2213,9388800
1980-07-10,0.2243,0.2251,0.2243,0.2243,14092800
1980-07-11,0.2243,0.2251,0.2236,0.2236,9888000
1980-07-14,0.2259,0.2274,0.2259,0.2259,15052800
1980-07-15,0.2328,0.2336,0.2328,0.2328,20678400
1980-07-16,0.2367,0.2374,0.2367,0.2367,11692800
1980-07-17,0.2421,0.2436,0.2421,0.2421,15456000
1980-07-18,0.2482,0.2490,0.2482,0.2482,12576000
1980-07-21,0.2482,0.2490,0.2482,0.2482,14208000
1980-07-22,0.2467,0.2467,0.2452,0.2452,14150400
1980-07-23,0.2436,0.2436,0.2428,0.2428,8371200
1980-07-24,0.2421,0.2421,0.2413,0.2413,11616000
1980-07-25,0.2398,0.2398,0.2390,0.2390,22156800
1980-07-28,0.2413,0.2428,0.2413,0.2413,7372800
1980-07-29,0.2521,0.2536,0.2521,0.2521,11424000
1980-07-30,0.2598,0.2606,0.2598,0.2598,12614400
1980-07-31,0.2613,0.2629,0.2613,0.2613,24384000
1980-08-01,0.2598,0.2598,0.2575,0.2575,9523200
1980-08-04,0.2613,0.2637,0.2613,0.2613,5721600
1980-08-05,0.2629,0.2644,0.2629,0.2629,6720000
1980-08-06,0.2629,0.2629,0.2606,0.2606,11193600
1980-08-07,0.2637,0.2644,0.2637,0.2637,8812800
1980-08-08,0.2675,0.2691,0.2675,0.2675,5817600
1980-08-11,0.2845,0.2860,0.2845,0.2845,7276800
1980-08-12,0.2852,0.2883,0.2852,0.2852,22406400
1980-08-13,0.2814,0.2814,0.2798,0.2798,12153600
1980-08-14,0.2798,0.2806,0.2798,0.2798,8793600
1980-08-15,0.2775,0.2775,0.2760,0.2760,41011200
1980-08-18,0.2691,0.2691,0.2683,0.2683,7699200
1980-08-19,0.2652,0.2652,0.2644,0.2644,8889600
1980-08-20,0.2698,0.2714,0.2698,0.2698,11808000
1980-08-21,0.2729,0.2737,0.2729,0.2729,11251200
1980-08-22,0.2744,0.2752,0.2744,0.2744,38515200
1980-08-25,0.2744,0.2752,0.2744,0.2744,11174400
1980-08-26,0.2744,0.2752,0.2744,0.2744,20160000
1980-08-27,0.2744,0.2744,0.2737,0.2737,3513600
1980-08-28,0.2721,0.2721,0.2714,0.2714,6451200
1980-08-29,0.2706,0.2706,0.2698,0.2698,15552000
1980-09-02,0.2737,0.2744,0.2737,0.2737,6816000
1980-09-03,0.2822,0.2837,0.2822,0.2822,9292800
1980-09-04,0.2845,0.2860,0.2845,0.2845,16147200
1980-09-05,0.2837,0.2837,0.2829,0.2829,6259200
1980-09-08,0.2768,0.2768,0.2752,0.2752,4300800
1980-09-09,0.2760,0.2768,0.2760,0.2760,13632000
1980-09-10,0.2744,0.2744,0.2729,0.2729,10099200
1980-09-11,0.2744,0.2752,0.2744,0.2744,5990400
1980-09-12,0.2744,0.2744,0.2737,0.2737,4800000
1980-09-15,0.2714,0.2714,0.2706,0.2706,5337600
1980-09-16,0.2783,0.2791,0.2783,0.2783,9139200
1980-09-17,0.2906,0.2914,0.2906,0.2906,11577600
1980-09-18,0.2914,0.2922,0.2914,0.2914,14227200
1980-09-19,0.2937,0.2945,0.2937,0.2937,6086400
1980-09-22,0.2906,0.2906,0.2891,0.2891,8313600
1980-09-23,0.2791,0.2791,0.2783,0.2783,7142400
1980-09-24,0.2768,0.2768,0.2752,0.2752,10022400
1980-09-25,0.2729,0.2729,0.2721,0.2721,11520000
1980-09-26,0.2698,0.2698,0.2683,0.2683,9312000
1980-09-29,0.2691,0.2698,0.2691,0.2691,3801600
1980-09-30,0.2744,0.2760,0.2744,0.2744,6086400
1980-10-01,0.2775,0.2783,0.2775,0.2775,5971200
1980-10-02,0.2775,0.2783,0.2768,0.2768,4281600
1980-10-03,0.2860,0.2868,0.2860,0.2860,5068800
1980-10-06,0.3037,0.3053,0.3037,0.3037,10060800
1980-10-07,0.3045,0.3061,0.3045,0.3045,9158400
1980-10-08,0.2991,0.2991,0.2983,0.2983,25036800
1980-10-09,0.2984,0.2991,0.2976,0.2976,4348800
1980-10-10,0.2960,0.2960,0.2945,0.2945,6624000
1980-10-13,0.2960,0.2976,0.2960,0.2960,3235200
1980-10-14,0.2976,0.3007,0.2976,0.2976,6652800
1980-10-15,0.3037,0.3053,0.3037,0.3037,4416000
1980-10-16,0.3037,0.3053,0.3022,0.3022,5942400
1980-10-17,0.3022,0.3022,0.2991,0.2991,6988800
1980-10-20,0.2976,0.2976,0.2960,0.2960,6489600
1980-10-21,0.2945,0.2945,0.2930,0.2930,8908800
1980-10-22,0.2960,0.2976,0.2960,0.2960,5136000
1980-10-23,0.2930,0.2930,0.2899,0.2899,3206400
1980-10-24,0.2852,0.2852,0.2837,0.2837,4204800
1980-10-27,0.2698,0.2698,0.2683,0.2683,5769600
1980-10-28,0.2760,0.2791,0.2760,0.2760,4473600
1980-10-29,0.2822,0.2837,0.2822,0.2822,6844800
1980-10-30,0.2559,0.2559,0.2529,0.2529,54960000
1980-10-31,0.2590,0.2606,0.2590,0.2590,16579200
1980-11-03,0.2590,0.2606,0.2590,0.2590,18777600
1980-11-05,0.2775,0.2791,0.2775,0.2775,16108800
1980-11-06,0.2621,0.2621,0.2606,0.2606,20659200
1980-11-07,0.2652,0.2683,0.2652,0.2652,7334400
1980-11-10,0.2652,0.2667,0.2637,0.2637,8390400
1980-11-11,0.2683,0.2698,0.2683,0.2683,8620800
1980-11-12,0.2775,0.2791,0.2775,0.2775,13440000
1980-11-13,0.2837,0.2852,0.2837,0.2837,9753600
1980-11-14,0.2960,0.2991,0.2960,0.2960,12028800
1980-11-17,0.2976,0.2991,0.2976,0.2976,8515200
1980-11-18,0.3053,0.3068,0.3053,0.3053,8467200
1980-11-19,0.3022,0.3022,0.3007,0.3007,10387200
1980-11-20,0.2991,0.2991,0.2976,0.2976,11251200
1980-11-21,0.2945,0.2945,0.2930,0.2930,10684800
1980-11-24,0.2914,0.2914,0.2883,0.2883,8688000
1980-11-25,0.2883,0.2899,0.2883,0.2883,5990400
1980-11-26,0.2899,0.2914,0.2899,0.2899,5654400
1980-11-28,0.2899,0.2899,0.2868,0.2868,5088000
1980-12-01,0.2683,0.2683,0.2652,0.2652,5328000
1980-12-02,0.2652,0.2683,0.2652,0.2652,12768000
1980-12-03,0.2683,0.2714,0.2683,0.2683,7478400
1980-12-04,0.2737,0.2760,0.2737,0.2737,9398400
1980-12-05,0.2575,0.2575,0.2559,0.2559,12278400
1980-12-08,0.2482,0.2482,0.2467,0.2467,13363200
1980-12-09,0.2575,0.2606,0.2575,0.2575,20572800
1980-12-10,0.2559,0.2559,0.2544,0.2544,17558400
1980-12-11,0.2498,0.2498,0.2467,0.2467,23481600
1980-12-12,0.2544,0.2559,0.2544,0.2544,12460800
1980-12-15,0.2544,0.2559,0.2544,0.2544,8544000
1980-12-16,0.2559,0.2590,0.2559,0.2559,16425600
1980-12-17,0.2529,0.2529,0.2513,0.2513,15753600
1980-12-18,0.2513,0.2529,0.2498,0.2498,18508800
1980-12-19,0.2405,0.2405,0.2374,0.2374,31900800
1980-12-22,0.2374,0.2390,0.2374,0.2374,19526400
1980-12-23,0.2421,0.2436,0.2421,0.2421,17145600
1980-12-24,0.2467,0.2498,0.2467,0.2467,11808000
1980-12-26,0.2529,0.2559,0.2529,0.2529,4300800
1980-12-29,0.2467,0.2467,0.2452,0.2452,15782400
1980-12-30,0.2482,0.2498,0.2482,0.2482,8131200
1980-12-31,0.2482,0.2513,0.2482,0.2482,6624000
1981-01-02,0.2482,0.2513,0.2482,0.2482,7795200
1981-01-05,0.2575,0.2606,0.2575,0.2575,9187200
1981-01-06,0.2529,0.2529,0.2513,0.2513,16099200
1981-01-07,0.2452,0.2452,0.2436,0.2436,16857600
1981-01-08,0.2405,0.2405,0.2390,0.2390,12556800
1981-01-09,0.2390,0.2405,0.2390,0.2390,8332800
1981-01-12,0.2359,0.2359,0.2344,0.2344,13574400
1981-01-13,0.2344,0.2344,0.2328,0.2328,14630400
1981-01-14,0.2344,0.2374,0.2344,0.2344,5702400
1981-01-15,0.2359,0.2390,0.2359,0.2359,10051200
1981-01-16,0.2467,0.2482,0.2467,0.2467,12768000
1981-01-19,0.2467,0.2482,0.2467,0.2467,7180800
1981-01-20,0.2405,0.2405,0.2390,0.2390,7017600
1981-01-21,0.2390,0.2390,0.2374,0.2374,8976000
1981-01-22,0.2374,0.2405,0.2374,0.2374,7286400
1981-01-23,0.2421,0.2436,0.2421,0.2421,8803200
1981-01-26,0.2374,0.2374,0.2359,0.2359,11760000
1981-01-27,0.2359,0.2359,0.2344,0.2344,10070400
1981-01-28,0.2344,0.2359,0.2344,0.2344,6681600
1981-01-29,0.2344,0.2359,0.2344,0.2344,7516800
1981-01-30,0.2313,0.2313,0.2297,0.2297,8956800
